source_url,title,type_slug,group_label,target_filename,category_slug,product_slug,model_code,notes
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V600R.pdf,Tabella rese IMKA-V600R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V600R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V600R,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V750R.pdf,Tabella rese IMKA-V750R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V750R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V750R,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V850R.pdf,Tabella rese IMKA-V850R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V850R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V850R,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V950R.pdf,Tabella rese IMKA-V950R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V950R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V950R,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKD-V300.pdf,Tabella rese IMKD-V300,tabella-rese,Tabelle rese,TAB_UI_IMKD-V300.pdf,linea-idronica-terminali-idronici,imkd-v,IMKD-V300,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKD-V400.pdf,Tabella rese IMKD-V400,tabella-rese,Tabelle rese,TAB_UI_IMKD-V400.pdf,linea-idronica-terminali-idronici,imkd-v,IMKD-V400,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKD-V500.pdf,Tabella rese IMKD-V500,tabella-rese,Tabelle rese,TAB_UI_IMKD-V500.pdf,linea-idronica-terminali-idronici,imkd-v,IMKD-V500,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V250B.pdf,Tabella rese IMKG-V250B,tabella-rese,Tabelle rese,TAB_UI_IMKG-V250B.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V250B,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V300B.pdf,Tabella rese IMKG-V300B,tabella-rese,Tabelle rese,TAB_UI_IMKG-V300B.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V300B,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V300C.pdf,Tabella rese IMKG-V300C,tabella-rese,Tabelle rese,TAB_UI_IMKG-V300C.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V300C,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V400B.pdf,Tabella rese IMKG-V400B,tabella-rese,Tabelle rese,TAB_UI_IMKG-V400B.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V400B,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V400C.pdf,Tabella rese IMKG-V400C,tabella-rese,Tabelle rese,TAB_UI_IMKG-V400C.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V400C,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V500B.pdf,Tabella rese IMKG-V500B,tabella-rese,Tabelle rese,TAB_UI_IMKG-V500B.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V500B,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V600B.pdf,Tabella rese IMKG-V600B,tabella-rese,Tabelle rese,TAB_UI_IMKG-V600B.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V600B,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKG-V600C.pdf,Tabella rese IMKG-V600C,tabella-rese,Tabelle rese,TAB_UI_IMKG-V600C.pdf,linea-idronica-terminali-idronici,imkg-v,IMKG-V600C,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V150-R3.pdf,Tabella rese IMKH2-V150-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V150-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V150-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V250-R3.pdf,Tabella rese IMKH2-V250-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V250-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V250-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V350-R3.pdf,Tabella rese IMKH2-V350-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V350-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V350-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V500-R3.pdf,Tabella rese IMKH2-V500-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V500-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V500-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V700-R3.pdf,Tabella rese IMKH2-V700-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V700-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V700-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKH2-V800-R3.pdf,Tabella rese IMKH2-V800-R3,tabella-rese,Tabelle rese,TAB_UI_IMKH2-V800-R3.pdf,linea-idronica-terminali-idronici,imkh2-v,IMKH2-V800-R3,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKT2-V.pdf,Tabella rese IMKT2-V,tabella-rese,Tabelle rese,TAB_UI_IMKT2-V.pdf,linea-idronica-terminali-idronici,imkt-v,IMKT2-V,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKT3-V.pdf,Tabella rese IMKT3-V,tabella-rese,Tabelle rese,TAB_UI_IMKT3-V.pdf,linea-idronica-terminali-idronici,imkt-v,IMKT3-V,Censimento sito storico 2026-08-26
